designation,lot,sous_categorie,unite,prix_unitaire,statut
Tableau électrique 3 rangées,6-ÉLECTRICITÉ,Autre,U,180.00,Validé
Disjoncteur 16A,6-ÉLECTRICITÉ,Autre,U,12.50,Validé
Disjoncteur 20A,6-ÉLECTRICITÉ,Autre,U,14.00,Validé
Prise électrique encastrée,6-ÉLECTRICITÉ,Autre,U,8.50,Validé
Interrupteur va-et-vient,6-ÉLECTRICITÉ,Autre,U,7.00,Validé
Câble électrique 3x2.5mm²,6-ÉLECTRICITÉ,Autre,ML,2.80,Validé
Gaine ICTA diamètre 20,6-ÉLECTRICITÉ,Autre,ML,0.60,Validé
Tube PER diamètre 16,5-PLOMBERIE,Sanitaire,ML,3.20,Validé
Tube PER diamètre 20,5-PLOMBERIE,Sanitaire,ML,4.50,Validé
Raccord laiton PER 16,5-PLOMBERIE,Sanitaire,U,2.80,Validé
Lavabo céramique blanc,5-PLOMBERIE,Sanitaire,U,85.00,Validé
WC suspendu avec bâti,5-PLOMBERIE,Sanitaire,U,320.00,Validé
Robinetterie lavabo,5-PLOMBERIE,Sanitaire,U,65.00,Validé
Receveur douche 90x90,5-PLOMBERIE,Sanitaire,U,180.00,Validé
Radiateur acier 1000W,7-CHAUFFAGE,Radiateur,U,120.00,Validé
