designation,lot,sous_categorie,unite,prix_unitaire,statut
Béton C25/30 pour fondations,2-GROS ŒUVRE,Fondation,M3,120.50,Validé
Béton C30/37 pour poteaux,2-GROS ŒUVRE,Fondation,M3,135.00,Validé
Brique creuse 20x20x40,2-GROS ŒUVRE,Autre,M2,35.00,Validé
Parpaing 20x20x50,2-GROS ŒUVRE,Autre,U,2.50,Validé
Mortier de pose,2-GROS ŒUVRE,Autre,M3,85.00,Validé
Linteau béton armé 20x20,2-GROS ŒUVRE,Autre,ML,45.00,Validé
Acier HA pour armature,2-GROS ŒUVRE,Autre,KG,1.20,Validé
Treillis soudé ST25,2-GROS ŒUVRE,Autre,M2,5.50,Validé
Coffrage métallique,2-GROS ŒUVRE,Autre,M2,12.00,Validé
Plancher hourdis 16+4,2-GROS ŒUVRE,Autre,M2,65.00,Validé
