designation,lot,sous_categorie,unite,prix_unitaire,statut
Carrelage grès cérame 60x60,12-CARRELAGE,Carrelage,M2,45.00,Validé
Carrelage mural faïence 25x40,12-CARRELAGE,Carrelage,M2,28.00,Validé
Mortier colle carrelage,12-CARRELAGE,Autre,KG,0.85,Validé
Joint carrelage,12-CARRELAGE,Autre,KG,1.20,Validé
Plinthes carrelage 8cm,12-CARRELAGE,Autre,ML,12.00,Validé
Peinture acrylique blanche mate,13-PEINTURE,Peinture,L,8.50,Validé
Peinture glycéro satinée,13-PEINTURE,Peinture,L,12.00,Validé
Enduit de lissage,13-PEINTURE,Peinture,KG,1.50,Validé
Sous-couche peinture,13-PEINTURE,Peinture,L,6.00,Validé
Parquet flottant chêne,14-REVÊTEMENTS DE SOL,Autre,M2,38.00,Validé
