designation,lot,sous_categorie,unite,prix_unitaire,statut
Décapage terre végétale,1-TERRASSEMENTS,Autre,M3,12.00,Validé
Fouilles en rigole,1-TERRASSEMENTS,Autre,M3,18.50,Validé
Remblai compacté,1-TERRASSEMENTS,Autre,M3,22.00,Validé
Gravier 0/20 pour hérisson,1-TERRASSEMENTS,Autre,M3,35.00,Validé
Film polyane 200 microns,1-TERRASSEMENTS,Autre,M2,2.50,Validé
Bordure béton T2,16-VRD,Autre,ML,15.00,Validé
Pavé autobloquant,16-VRD,Autre,M2,28.00,Validé
Enrobé bitumineux,16-VRD,Autre,M2,35.00,Validé
Regard de visite PVC,16-VRD,Autre,U,85.00,Validé
Tuyau PVC assainissement Ø160,16-VRD,Autre,ML,12.50,Validé
Grille avaloir fonte,16-VRD,Autre,U,95.00,Validé
Dalle béton parking,16-VRD,Autre,M2,45.00,Validé
